municipio,departamento,votantes_2021,votantes_2025,diferencia_num,diferencia_porc
La Ceiba,Atlántida,104139,121462,17323,14%
El Porvenir,Atlántida,13304,15721,2417,15%
Esparta,Atlántida,11258,12560,1302,10%
Jutiapa,Atlántida,20190,24147,3957,16%
La Masica,Atlántida,20905,24958,4053,16%
San Francisco,Atlántida,8902,10260,1358,13%
Tela,Atlántida,56459,68408,11949,17%
Arizona,Atlántida,15503,18771,3268,17%
Trujillo,Colón,33893,39104,5211,13%
Balfate,Colón,6683,8676,1993,23%
Iriona,Colón,9828,11262,1434,13%
Limón,Colón,7078,8505,1427,17%
Sabá,Colón,20922,24988,4066,16%
Santa Fe,Colón,3382,4332,950,22%
Santa Rosa de Aguán,Colón,4030,4540,510,11%
Sonaguera,Colón,27069,31513,4444,14%
Tocoa,Colón,51632,60428,8796,15%
Bonito Oriental,Colón,17929,21341,3412,16%
Comayagua,Comayagua,86675,101829,15154,15%
Ajuterique,Comayagua,8417,9881,1464,15%
El Rosario,Comayagua,16371,18089,1718,9%
Esquías,Comayagua,11494,12270,776,6%
Humuya,Comayagua,1345,1540,195,13%
La Libertad,Comayagua,13532,15515,1983,13%
Lamaní,Comayagua,4760,5740,980,17%
La Trinidad,Comayagua,2862,3364,502,15%
Lejamaní,Comayagua,4611,5275,664,13%
Meámbar,Comayagua,7180,8307,1127,14%
Minas de Oro,Comayagua,7792,8866,1074,12%
Ojos de Agua,Comayagua,6346,6999,653,9%
San Jerónimo,Comayagua,13376,16013,2637,16%
San José de Comayagua,Comayagua,5267,6069,802,13%
San José del Potrero,Comayagua,4091,4838,747,15%
San Luis,Comayagua,6975,7968,993,12%
San Sebastián,Comayagua,2532,3016,484,16%
Siguatepeque,Comayagua,62492,72573,10081,14%
Villa de San Antonio,Comayagua,14827,16972,2145,13%
Las Lajas,Comayagua,9299,10490,1191,11%
Taulabé,Comayagua,16408,18858,2450,13%
Santa Rosa de Copán,Copán,38111,44797,6686,15%
Cabañas,Copán,7819,9436,1617,17%
Concepción,Copán,4614,5197,583,11%
Copán Ruinas,Copán,24519,28215,3696,13%
Corquín,Copán,9573,10723,1150,11%
Cucuyagua,Copán,10680,12613,1933,15%
Dolores,Copán,3795,4332,537,12%
Dulce Nombre,Copán,4300,4973,673,14%
El Paraíso,Copán,11642,13133,1491,11%
Florida,Copán,14170,15812,1642,10%
La Jigua,Copán,5197,6055,858,14%
La Unión,Copán,10465,11682,1217,10%
Nueva Arcadia,Copán,24083,27815,3732,13%
San Agustín,Copán,3767,4711,944,20%
San Antonio,Copán,5788,7025,1237,18%
San Jerónimo,Copán,3895,4635,740,16%
San José,Copán,4683,5524,841,15%
San Juan de Opoa,Copán,6327,7099,772,11%
San Nicolás,Copán,5063,6153,1090,18%
San Pedro,Copán,4772,5587,815,15%
Santa Rita,Copán,16116,18099,1983,11%
Trinidad de Copán,Copán,4550,5234,684,13%
Veracruz,Copán,2578,3145,567,18%
San Pedro Sula,Cortés,439404,526254,86850,17%
Choloma,Cortés,133528,151626,18098,12%
Omoa,Cortés,31902,37199,5297,14%
Pimienta,Cortés,13347,15816,2469,16%
Potrerillos,Cortés,14204,17988,3784,21%
Puerto Cortés,Cortés,76584,90933,14349,16%
San Antonio de Cortés,Cortés,13844,15942,2098,13%
San Francisco de Yojoa,Cortés,14663,17562,2899,17%
San Manuel,Cortés,27637,33415,5778,17%
Santa Cruz de Yojoa,Cortés,54176,62204,8028,13%
Villanueva,Cortés,89517,102765,13248,13%
La Lima,Cortés,44724,56220,11496,20%
Choluteca,Choluteca,100432,115696,15264,13%
Apacilagua,Choluteca,6459,7357,898,12%
Concepción de María,Choluteca,15719,17790,2071,12%
Duyure,Choluteca,2648,2909,261,9%
El Corpus,Choluteca,14905,16330,1425,9%
El Triunfo,Choluteca,29616,34642,5026,15%
Marcovia,Choluteca,29581,33205,3624,11%
Morolica,Choluteca,3366,3866,500,13%
Namasigüe,Choluteca,22208,25145,2937,12%
Orocuina,Choluteca,11627,13204,1577,12%
Pespire,Choluteca,16117,18487,2370,13%
San Antonio de Flores,Choluteca,3909,4459,550,12%
San Isidro,Choluteca,3204,3655,451,12%
San José,Choluteca,3321,3855,534,14%
San Marcos de Colón,Choluteca,18263,22116,3853,17%
Santa Ana de Yusguare,Choluteca,11037,12541,1504,12%
Yuscarán,El Paraíso,10190,11533,1343,12%
Alauca,El Paraíso,6992,8024,1032,13%
Danlí,El Paraíso,125562,143691,18129,13%
El Paraíso,El Paraíso,31628,36194,4566,13%
Güinope,El Paraíso,6552,7467,915,12%
Jacaleapa,El Paraíso,3133,3738,605,16%
Liure,El Paraíso,8271,9388,1117,12%
Morocelí,El Paraíso,9901,11509,1608,14%
Oropolí,El Paraíso,5183,5758,575,10%
Potrerillos,El Paraíso,2969,3355,386,12%
San Antonio de Flores,El Paraíso,4255,4996,741,15%
San Lucas,El Paraíso,5518,6160,642,10%
San Matías,El Paraíso,3606,4226,620,15%
Soledad,El Paraíso,6915,7902,987,12%
Teupasenti,El Paraíso,24809,26875,2066,8%
Texiguat,El Paraíso,6697,7089,392,6%
Vado Ancho,El Paraíso,2995,3479,484,14%
Yauyupe,El Paraíso,1414,1673,259,15%
Trojes,El Paraíso,33459,38653,5194,13%
Distrito Central,Francisco Morazán,715259,836041,120782,14%
Alubarén,Francisco Morazán,3640,4305,665,15%
Cedros,Francisco Morazán,15549,17331,1782,10%
Curarén,Francisco Morazán,11107,12770,1663,13%
El Porvenir,Francisco Morazán,11138,13921,2783,20%
Guaimaca,Francisco Morazán,20870,24378,3508,14%
La Libertad,Francisco Morazán,2724,3024,300,10%
La Venta,Francisco Morazán,4265,5092,827,16%
Lepaterique,Francisco Morazán,11862,13281,1419,11%
Maraita,Francisco Morazán,4390,5133,743,14%
Marale,Francisco Morazán,5863,6782,919,14%
Nueva Armenia,Francisco Morazán,3117,4343,1226,28%
Ojojona,Francisco Morazán,8218,9739,1521,16%
Orica,Francisco Morazán,9086,11124,2038,18%
Reitoca,Francisco Morazán,6576,8026,1450,18%
Sabanagrande,Francisco Morazán,12893,14867,1974,13%
San Antonio de Oriente,Francisco Morazán,10636,11897,1261,11%
San Buenaventura,Francisco Morazán,2923,3341,418,13%
San Ignacio,Francisco Morazán,6882,8032,1150,14%
Cantarranas,Francisco Morazán,10964,12586,1622,13%
San Miguelito,Francisco Morazán,1993,2252,259,12%
Santa Ana,Francisco Morazán,11088,13071,1983,15%
Santa Lucía,Francisco Morazán,10080,11735,1655,14%
Talanga,Francisco Morazán,22122,27230,5108,19%
Tatumbla,Francisco Morazán,6995,8655,1660,19%
Valle de Ángeles,Francisco Morazán,13279,16584,3305,20%
Villa de San Francisco,Francisco Morazán,7886,9250,1364,15%
Vallecillo,Francisco Morazán,5741,6716,975,15%
Puerto Lempira,Gracias a Dios,23419,28125,4706,17%
Brus Laguna,Gracias a Dios,5831,7300,1469,20%
Ahuás,Gracias a Dios,4100,5227,1127,22%
